{'loss': 4.7095, 'grad_norm': 5.5370917320251465, 'learning_rate': 0.0, 'epoch': 0.02}
{'loss': 0.2101, 'grad_norm': 1.5551291704177856, 'learning_rate': 0.00016323232323232326, 'epoch': 1.94}
{'loss': 0.3844, 'grad_norm': 2.2009847164154053, 'learning_rate': 0.00016282828282828283, 'epoch': 1.96}
{'loss': 0.4045, 'grad_norm': 1.615394949913025, 'learning_rate': 0.00016242424242424243, 'epoch': 1.98}
{'loss': 0.19, 'grad_norm': 1.4095293283462524, 'learning_rate': 0.00016202020202020202, 'epoch': 2.0}
{'loss': 0.2104, 'grad_norm': 1.3554105758666992, 'learning_rate': 0.00016161616161616162, 'epoch': 2.02}
{'loss': 0.0875, 'grad_norm': 0.6635045409202576, 'learning_rate': 0.00016121212121212122, 'epoch': 2.04}
{'loss': 0.2975, 'grad_norm': 1.4356249570846558, 'learning_rate': 0.00016080808080808082, 'epoch': 2.06}
{'loss': 0.2455, 'grad_norm': 1.7687883377075195, 'learning_rate': 0.0001604040404040404, 'epoch': 2.08}
{'loss': 0.1422, 'grad_norm': 1.2595763206481934, 'learning_rate': 0.00016, 'epoch': 2.1}
{'loss': 0.2064, 'grad_norm': 1.756739854812622, 'learning_rate': 0.0001595959595959596, 'epoch': 2.12}
{'loss': 0.0522, 'grad_norm': 0.6848118305206299, 'learning_rate': 0.0001591919191919192, 'epoch': 2.14}
{'loss': 0.164, 'grad_norm': 1.4768257141113281, 'learning_rate': 0.0001587878787878788, 'epoch': 2.16}
{'loss': 0.2054, 'grad_norm': 2.108441114425659, 'learning_rate': 0.00015838383838383838, 'epoch': 2.18}
{'loss': 0.2117, 'grad_norm': 1.9103068113327026, 'learning_rate': 0.00015797979797979798, 'epoch': 2.2}
{'loss': 0.25, 'grad_norm': 2.5404887199401855, 'learning_rate': 0.00015757575757575757, 'epoch': 2.22}
{'loss': 0.1737, 'grad_norm': 1.5781993865966797, 'learning_rate': 0.00015717171717171717, 'epoch': 2.24}
{'loss': 0.3446, 'grad_norm': 2.2862067222595215, 'learning_rate': 0.0001567676767676768, 'epoch': 2.26}
{'loss': 0.1644, 'grad_norm': 1.3374193906784058, 'learning_rate': 0.00015636363636363637, 'epoch': 2.28}
{'loss': 0.2214, 'grad_norm': 1.6532419919967651, 'learning_rate': 0.00015595959595959597, 'epoch': 2.3}
{'loss': 0.0903, 'grad_norm': 0.7579497694969177, 'learning_rate': 0.00015555555555555556, 'epoch': 2.32}
{'loss': 0.2067, 'grad_norm': 1.697713851928711, 'learning_rate': 0.00015515151515151516, 'epoch': 2.34}
{'loss': 0.1442, 'grad_norm': 0.9888438582420349, 'learning_rate': 0.00015474747474747476, 'epoch': 2.36}
{'loss': 0.1566, 'grad_norm': 1.2252190113067627, 'learning_rate': 0.00015434343434343436, 'epoch': 2.38}
{'loss': 0.219, 'grad_norm': 1.7985103130340576, 'learning_rate': 0.00015393939393939393, 'epoch': 2.4}
{'loss': 0.2225, 'grad_norm': 1.4286906719207764, 'learning_rate': 0.00015353535353535353, 'epoch': 2.42}
{'loss': 0.1517, 'grad_norm': 0.9673686027526855, 'learning_rate': 0.00015313131313131315, 'epoch': 2.44}
{'loss': 0.1433, 'grad_norm': 1.2365522384643555, 'learning_rate': 0.00015272727272727275, 'epoch': 2.46}
{'loss': 0.2194, 'grad_norm': 1.3252296447753906, 'learning_rate': 0.00015232323232323235, 'epoch': 2.48}
{'loss': 0.2273, 'grad_norm': 1.3839517831802368, 'learning_rate': 0.00015191919191919192, 'epoch': 2.5}
{'loss': 0.2206, 'grad_norm': 1.4354767799377441, 'learning_rate': 0.00015151515151515152, 'epoch': 2.52}
{'loss': 0.1782, 'grad_norm': 1.3201128244400024, 'learning_rate': 0.0001511111111111111, 'epoch': 2.54}
{'loss': 0.1294, 'grad_norm': 1.326873540878296, 'learning_rate': 0.0001507070707070707, 'epoch': 2.56}
{'loss': 0.2155, 'grad_norm': 1.2630615234375, 'learning_rate': 0.0001503030303030303, 'epoch': 2.58}
{'loss': 0.1511, 'grad_norm': 1.6113289594650269, 'learning_rate': 0.0001498989898989899, 'epoch': 2.6}
{'loss': 0.2631, 'grad_norm': 1.6667988300323486, 'learning_rate': 0.0001494949494949495, 'epoch': 2.62}
{'loss': 0.2048, 'grad_norm': 1.5598009824752808, 'learning_rate': 0.0001490909090909091, 'epoch': 2.64}
{'loss': 0.2997, 'grad_norm': 1.9690008163452148, 'learning_rate': 0.0001486868686868687, 'epoch': 2.66}
{'loss': 0.1917, 'grad_norm': 1.6635894775390625, 'learning_rate': 0.0001482828282828283, 'epoch': 2.68}
{'loss': 0.2092, 'grad_norm': 3.230862617492676, 'learning_rate': 0.0001478787878787879, 'epoch': 2.7}
{'loss': 0.3619, 'grad_norm': 1.7995011806488037, 'learning_rate': 0.00014747474747474747, 'epoch': 2.72}
{'loss': 0.1104, 'grad_norm': 0.7372803092002869, 'learning_rate': 0.00014707070707070706, 'epoch': 2.74}
{'loss': 0.1778, 'grad_norm': 2.1866254806518555, 'learning_rate': 0.00014666666666666666, 'epoch': 2.76}
{'loss': 0.1819, 'grad_norm': 3.032874822616577, 'learning_rate': 0.0001462626262626263, 'epoch': 2.78}
{'loss': 0.166, 'grad_norm': 1.1941571235656738, 'learning_rate': 0.00014585858585858586, 'epoch': 2.8}
{'loss': 0.1274, 'grad_norm': 0.9949732422828674, 'learning_rate': 0.00014545454545454546, 'epoch': 2.82}
{'loss': 0.1284, 'grad_norm': 0.997957170009613, 'learning_rate': 0.00014505050505050505, 'epoch': 2.84}
{'loss': 0.1859, 'grad_norm': 1.2888414859771729, 'learning_rate': 0.00014464646464646465, 'epoch': 2.86}
{'loss': 0.1535, 'grad_norm': 1.133617877960205, 'learning_rate': 0.00014424242424242425, 'epoch': 2.88}
{'loss': 0.1843, 'grad_norm': 1.2637529373168945, 'learning_rate': 0.00014383838383838385, 'epoch': 2.9}
{'loss': 0.1636, 'grad_norm': 1.547794222831726, 'learning_rate': 0.00014343434343434342, 'epoch': 2.92}
{'loss': 0.2166, 'grad_norm': 2.066354513168335, 'learning_rate': 0.00014303030303030304, 'epoch': 2.94}
{'loss': 0.0737, 'grad_norm': 1.0557688474655151, 'learning_rate': 0.00014262626262626264, 'epoch': 2.96}
{'loss': 0.1802, 'grad_norm': 1.4309203624725342, 'learning_rate': 0.00014222222222222224, 'epoch': 2.98}
{'loss': 0.2215, 'grad_norm': 1.8492110967636108, 'learning_rate': 0.00014181818181818184, 'epoch': 3.0}
{'loss': 0.1052, 'grad_norm': 1.2476965188980103, 'learning_rate': 0.0001414141414141414, 'epoch': 3.02}
{'loss': 0.1652, 'grad_norm': 1.5731441974639893, 'learning_rate': 0.000141010101010101, 'epoch': 3.04}
{'loss': 0.0577, 'grad_norm': 0.6427806615829468, 'learning_rate': 0.0001406060606060606, 'epoch': 3.06}
{'loss': 0.1342, 'grad_norm': 2.9665896892547607, 'learning_rate': 0.0001402020202020202, 'epoch': 3.08}
{'loss': 0.1167, 'grad_norm': 1.02275812625885, 'learning_rate': 0.0001397979797979798, 'epoch': 3.1}
{'loss': 0.03, 'grad_norm': 0.5809301137924194, 'learning_rate': 0.0001393939393939394, 'epoch': 3.12}
{'loss': 0.0723, 'grad_norm': 1.0123234987258911, 'learning_rate': 0.000138989898989899, 'epoch': 3.14}
{'loss': 0.1285, 'grad_norm': 1.8863447904586792, 'learning_rate': 0.0001385858585858586, 'epoch': 3.16}
{'loss': 0.0736, 'grad_norm': 1.723151445388794, 'learning_rate': 0.0001381818181818182, 'epoch': 3.18}
{'loss': 0.1636, 'grad_norm': 1.600145697593689, 'learning_rate': 0.0001377777777777778, 'epoch': 3.2}
{'loss': 0.1823, 'grad_norm': 5.137123107910156, 'learning_rate': 0.0001373737373737374, 'epoch': 3.22}
{'loss': 0.1559, 'grad_norm': 1.6409577131271362, 'learning_rate': 0.00013696969696969696, 'epoch': 3.24}
{'loss': 0.0588, 'grad_norm': 1.716590166091919, 'learning_rate': 0.00013656565656565656, 'epoch': 3.26}
{'loss': 0.0839, 'grad_norm': 1.2396667003631592, 'learning_rate': 0.00013616161616161618, 'epoch': 3.28}
{'loss': 0.0611, 'grad_norm': 1.1032822132110596, 'learning_rate': 0.00013575757575757578, 'epoch': 3.3}
{'loss': 0.3962, 'grad_norm': 3.5433051586151123, 'learning_rate': 0.00013535353535353538, 'epoch': 3.32}
{'loss': 0.2272, 'grad_norm': 2.9429967403411865, 'learning_rate': 0.00013494949494949495, 'epoch': 3.34}
{'loss': 0.0721, 'grad_norm': 1.565604567527771, 'learning_rate': 0.00013454545454545455, 'epoch': 3.36}
{'loss': 0.2306, 'grad_norm': 2.901261568069458, 'learning_rate': 0.00013414141414141414, 'epoch': 3.38}
{'loss': 0.098, 'grad_norm': 1.0083025693893433, 'learning_rate': 0.00013373737373737374, 'epoch': 3.4}
{'loss': 0.1621, 'grad_norm': 1.3962692022323608, 'learning_rate': 0.00013333333333333334, 'epoch': 3.42}
{'loss': 0.0782, 'grad_norm': 1.1716506481170654, 'learning_rate': 0.00013292929292929294, 'epoch': 3.44}
{'loss': 0.1025, 'grad_norm': 1.0375776290893555, 'learning_rate': 0.00013252525252525254, 'epoch': 3.46}
{'loss': 0.2138, 'grad_norm': 1.6592741012573242, 'learning_rate': 0.00013212121212121213, 'epoch': 3.48}
{'loss': 0.1395, 'grad_norm': 2.2972941398620605, 'learning_rate': 0.00013171717171717173, 'epoch': 3.5}
{'loss': 0.1477, 'grad_norm': 1.579561710357666, 'learning_rate': 0.00013131313131313133, 'epoch': 3.52}
{'loss': 0.1199, 'grad_norm': 1.0127748250961304, 'learning_rate': 0.00013090909090909093, 'epoch': 3.54}
{'loss': 0.0761, 'grad_norm': 0.5394757986068726, 'learning_rate': 0.0001305050505050505, 'epoch': 3.56}
{'loss': 0.0649, 'grad_norm': 0.6315382122993469, 'learning_rate': 0.0001301010101010101, 'epoch': 3.58}
{'loss': 0.0778, 'grad_norm': 0.6590713858604431, 'learning_rate': 0.0001296969696969697, 'epoch': 3.6}
{'loss': 0.0635, 'grad_norm': 0.7307707667350769, 'learning_rate': 0.00012929292929292932, 'epoch': 3.62}
{'loss': 0.1481, 'grad_norm': 1.0592447519302368, 'learning_rate': 0.00012888888888888892, 'epoch': 3.64}
{'loss': 0.0981, 'grad_norm': 0.846327006816864, 'learning_rate': 0.0001284848484848485, 'epoch': 3.66}
{'loss': 0.185, 'grad_norm': 2.5550625324249268, 'learning_rate': 0.00012808080808080809, 'epoch': 3.68}
{'loss': 0.1802, 'grad_norm': 1.4894791841506958, 'learning_rate': 0.00012767676767676768, 'epoch': 3.7}
{'loss': 0.0619, 'grad_norm': 0.596794605255127, 'learning_rate': 0.00012727272727272728, 'epoch': 3.72}
{'loss': 0.0819, 'grad_norm': 0.7245993614196777, 'learning_rate': 0.00012686868686868688, 'epoch': 3.74}
{'loss': 0.1223, 'grad_norm': 0.9436296820640564, 'learning_rate': 0.00012646464646464645, 'epoch': 3.76}
{'loss': 0.0868, 'grad_norm': 0.9576944708824158, 'learning_rate': 0.00012606060606060605, 'epoch': 3.78}
{'loss': 0.0462, 'grad_norm': 0.5809322595596313, 'learning_rate': 0.00012565656565656567, 'epoch': 3.8}
{'loss': 0.0719, 'grad_norm': 0.6418552398681641, 'learning_rate': 0.00012525252525252527, 'epoch': 3.82}
{'loss': 0.1398, 'grad_norm': 1.7922276258468628, 'learning_rate': 0.00012484848484848487, 'epoch': 3.84}
{'loss': 0.1362, 'grad_norm': 1.8469961881637573, 'learning_rate': 0.00012444444444444444, 'epoch': 3.86}
{'loss': 0.1078, 'grad_norm': 1.425886869430542, 'learning_rate': 0.00012404040404040404, 'epoch': 3.88}
{'loss': 0.243, 'grad_norm': 2.3855769634246826, 'learning_rate': 0.00012363636363636364, 'epoch': 3.9}
{'loss': 0.112, 'grad_norm': 1.3661171197891235, 'learning_rate': 0.00012323232323232323, 'epoch': 3.92}
{'loss': 0.1116, 'grad_norm': 1.1936336755752563, 'learning_rate': 0.00012282828282828283, 'epoch': 3.94}
{'loss': 0.2326, 'grad_norm': 2.222975730895996, 'learning_rate': 0.00012242424242424243, 'epoch': 3.96}
{'loss': 0.0778, 'grad_norm': 0.8316769003868103, 'learning_rate': 0.00012202020202020204, 'epoch': 3.98}
{'loss': 0.0668, 'grad_norm': 1.143712043762207, 'learning_rate': 0.00012161616161616162, 'epoch': 4.0}
{'loss': 0.0315, 'grad_norm': 0.43579936027526855, 'learning_rate': 0.00012121212121212122, 'epoch': 4.02}
{'loss': 0.0487, 'grad_norm': 0.4448321759700775, 'learning_rate': 0.00012080808080808082, 'epoch': 4.04}
{'loss': 0.0957, 'grad_norm': 0.6758857369422913, 'learning_rate': 0.0001204040404040404, 'epoch': 4.06}
{'loss': 0.0789, 'grad_norm': 1.0127220153808594, 'learning_rate': 0.00012, 'epoch': 4.08}
{'loss': 0.0281, 'grad_norm': 0.5825729370117188, 'learning_rate': 0.0001195959595959596, 'epoch': 4.1}
{'loss': 0.0711, 'grad_norm': 0.6670067310333252, 'learning_rate': 0.00011919191919191919, 'epoch': 4.12}
{'loss': 0.1197, 'grad_norm': 1.1791809797286987, 'learning_rate': 0.0001187878787878788, 'epoch': 4.14}
{'loss': 0.0553, 'grad_norm': 0.7687022089958191, 'learning_rate': 0.0001183838383838384, 'epoch': 4.16}
{'loss': 0.0748, 'grad_norm': 1.8009073734283447, 'learning_rate': 0.00011797979797979799, 'epoch': 4.18}
{'loss': 0.1079, 'grad_norm': 1.7395426034927368, 'learning_rate': 0.00011757575757575758, 'epoch': 4.2}
{'loss': 0.1498, 'grad_norm': 1.6678457260131836, 'learning_rate': 0.00011717171717171717, 'epoch': 4.22}
{'loss': 0.0452, 'grad_norm': 0.7709890604019165, 'learning_rate': 0.00011676767676767677, 'epoch': 4.24}
{'loss': 0.0771, 'grad_norm': 3.1908481121063232, 'learning_rate': 0.00011636363636363636, 'epoch': 4.26}
{'loss': 0.0566, 'grad_norm': 0.7911689281463623, 'learning_rate': 0.00011595959595959596, 'epoch': 4.28}
{'loss': 0.0555, 'grad_norm': 0.8124959468841553, 'learning_rate': 0.00011555555555555555, 'epoch': 4.3}
{'loss': 0.0344, 'grad_norm': 0.4773826599121094, 'learning_rate': 0.00011515151515151516, 'epoch': 4.32}
{'loss': 0.1026, 'grad_norm': 1.803253412246704, 'learning_rate': 0.00011474747474747476, 'epoch': 4.34}
{'loss': 0.0726, 'grad_norm': 0.86225825548172, 'learning_rate': 0.00011434343434343435, 'epoch': 4.36}
{'loss': 0.0353, 'grad_norm': 1.1312140226364136, 'learning_rate': 0.00011393939393939394, 'epoch': 4.38}
{'loss': 0.0575, 'grad_norm': 1.2750725746154785, 'learning_rate': 0.00011353535353535354, 'epoch': 4.4}
{'loss': 0.0671, 'grad_norm': 0.8585196137428284, 'learning_rate': 0.00011313131313131313, 'epoch': 4.42}
{'loss': 0.014, 'grad_norm': 0.7425988912582397, 'learning_rate': 0.00011272727272727272, 'epoch': 4.44}
{'loss': 0.1182, 'grad_norm': 1.707777500152588, 'learning_rate': 0.00011232323232323232, 'epoch': 4.46}
{'loss': 0.1821, 'grad_norm': 2.5879344940185547, 'learning_rate': 0.00011191919191919193, 'epoch': 4.48}
{'loss': 0.0812, 'grad_norm': 1.01784348487854, 'learning_rate': 0.00011151515151515153, 'epoch': 4.5}
{'loss': 0.0494, 'grad_norm': 0.7673342823982239, 'learning_rate': 0.00011111111111111112, 'epoch': 4.52}
{'loss': 0.0795, 'grad_norm': 1.0972942113876343, 'learning_rate': 0.00011070707070707071, 'epoch': 4.54}
{'loss': 0.056, 'grad_norm': 0.7828622460365295, 'learning_rate': 0.00011030303030303031, 'epoch': 4.56}
{'loss': 0.0659, 'grad_norm': 0.7686012387275696, 'learning_rate': 0.0001098989898989899, 'epoch': 4.58}
{'loss': 0.0898, 'grad_norm': 0.8012340664863586, 'learning_rate': 0.0001094949494949495, 'epoch': 4.6}
{'loss': 0.0492, 'grad_norm': 0.742125391960144, 'learning_rate': 0.00010909090909090909, 'epoch': 4.62}
{'loss': 0.1361, 'grad_norm': 1.5683960914611816, 'learning_rate': 0.00010868686868686868, 'epoch': 4.64}
{'loss': 0.18, 'grad_norm': 2.7987542152404785, 'learning_rate': 0.0001082828282828283, 'epoch': 4.66}
{'loss': 0.0884, 'grad_norm': 3.375335216522217, 'learning_rate': 0.00010787878787878789, 'epoch': 4.68}
